File Name,Number of trades,Number of positive trades,Number of negative trades,Total profit,Total turnover
BANKNIFTY01FEB1828300CE_2018-01-30.csv,13,0,13,-393.0,11199.0
BANKNIFTY01FEB1828400CE_2018-01-30.csv,15,2,13,-343.5,9997.5
BANKNIFTY01FEB1828500CE_2018-01-30.csv,16,0,16,-354.75,8444.25
BANKNIFTY01FEB1828600CE_2018-01-30.csv,16,3,13,-185.25,6212.25
BANKNIFTY01FEB1826400PE_2018-01-31.csv,16,7,9,119.25,10738.5
BANKNIFTY01FEB1826500PE_2018-01-31.csv,16,6,10,54.0,13089.0
BANKNIFTY01FEB1826600PE_2018-01-31.csv,13,4,9,-101.25,14791.5
BANKNIFTY01FEB1826700PE_2018-01-31.csv,10,5,5,200.25,15115.5
BANKNIFTY01FEB1826800PE_2018-01-31.csv,12,6,6,261.0,22673.25
BANKNIFTY01FEB1826900PE_2018-01-31.csv,8,4,4,285.0,20073.0
BANKNIFTY01FEB1827000PE_2018-01-31.csv,8,2,6,-243.0,26578.5
BANKNIFTY01FEB1827100CE_2018-01-31.csv,9,4,5,1046.25,100602.75
BANKNIFTY01FEB1827100PE_2018-01-31.csv,8,2,6,-520.5,33912.75
BANKNIFTY01FEB1827200CE_2018-01-31.csv,5,1,4,-798.75,46740.0
BANKNIFTY01FEB1827200PE_2018-01-31.csv,7,2,5,-465.75,38814.75
BANKNIFTY01FEB1827300CE_2018-01-31.csv,8,3,5,563.25,58942.5
BANKNIFTY01FEB1827300PE_2018-01-31.csv,5,1,4,-512.25,36262.5
BANKNIFTY01FEB1827400CE_2018-01-31.csv,7,2,5,-460.5,37375.5
BANKNIFTY01FEB1827400PE_2018-01-31.csv,8,3,5,-487.5,60202.5
BANKNIFTY01FEB1827500CE_2018-01-31.csv,5,0,5,-648.0,18921.0
BANKNIFTY01FEB1827500PE_2018-01-31.csv,5,2,3,-88.5,50533.5
